,HYDRO-STORAGE,HYDRO-ROR,NUCLEAR,HYDRO-PONDAGE,solarPV,wind,Coal,Gas-CCGT,Gas-CT,Diesel,Other,Bat-Storage-Discharge,Bat-Storage-Charge,curtailment,load,Bat-Storage-Energy-MWh
1,1396.73355,2295.33513,3430.0,748.413,0.0,68268.2448375,158020.393483,482.58,8.1,19.2,0.0,0.0,0.0,0.0,234669,0.0
2,1396.73355,2295.33513,3430.0,748.413,0.0,65987.346445,155759.291875,482.58,8.1,19.2,0.0,0.0,0.0,0.0,230127,0.0
3,1396.73355,2295.33513,3430.0,748.413,0.0,63339.4334068,158869.204913,482.58,8.1,19.2,0.0,0.0,0.0,0.0,230589,0.0
4,1396.73355,2295.33513,3430.0,748.413,0.0,58987.8894332,164992.848887,609.48,8.1,19.2,0.0,0.0,0.0,0.0,232488,0.0
5,4959.24079584,2295.33513,3430.0,748.413,0.0,54828.5739119,170669.657162,609.48,8.1,19.2,0.0,0.0,0.0,0.0,237568,0.0
6,14407.4611335,2295.33513,3430.0,748.413,0.0,52798.2377365,170794.773,609.48,8.1,19.2,0.0,0.0,0.0,0.0,245111,0.0
7,23673.45,2295.33513,3430.0,748.413,0.0,52388.4533902,171212.56848,609.48,8.1,19.2,0.0,0.0,0.0,0.0,254385,0.0
8,23673.45,2295.33513,3430.0,748.413,6480.28499777,52172.9903916,174607.173,756.05348068,8.1,19.2,0.0,0.0,0.0,0.0,264191,0.0
9,3718.31053983,2295.33513,3430.0,748.413,42048.6518836,48410.7364466,170794.773,609.48,8.1,19.2,0.0,0.0,0.0,0.0,272083,0.0
10,1396.73355,2295.33513,3430.0,748.413,78283.6108153,45934.1125097,144480.914995,482.58,8.1,19.2,0.0,0.0,0.0,0.0,277079,0.0
11,1396.73355,2295.33513,3430.0,748.413,107681.118523,38105.7986967,122225.0211,482.58,0.0,0.0,0.0,0.0,0.0,10855.0,276365,0.0
12,1396.73355,2295.33513,3430.0,748.413,92051.9554975,50182.9617225,122225.0211,482.58,0.0,0.0,0.0,0.0,0.0,33377.0,272813,0.0
13,1396.73355,2295.33513,3430.0,748.413,89113.5934769,48240.3237431,122225.0211,482.58,0.0,0.0,0.0,0.0,0.0,43462.0,267932,0.0
14,1396.73355,2295.33513,3430.0,748.413,128066.866631,4188.0505893,122225.0211,482.58,0.0,0.0,0.0,0.0,0.0,37795.0,262833,0.0
15,1396.73355,2295.33513,3430.0,748.413,117725.138108,10076.7791119,122225.0211,482.58,0.0,0.0,0.0,0.0,0.0,29049.0,258380,0.0
16,1396.73355,2295.33513,3430.0,748.413,85248.0658565,41269.8513635,122225.0211,482.58,0.0,0.0,0.0,0.0,0.0,10219.0,257096,0.0
17,1396.73355,2295.33513,3430.0,748.413,56956.990331,45481.2770635,148032.370925,482.58,8.1,19.2,0.0,0.0,0.0,0.0,258851,0.0
18,23673.45,2295.33513,3430.0,748.413,7220.15247602,45586.9556176,174607.173,965.16,1281.303,1570.05777638,0.0,0.0,0.0,0.0,261378,0.0
19,23673.45,2295.33513,3430.0,748.413,0.0,52537.9774422,174607.173,965.16,2230.2914278,1769.2,0.0,0.0,0.0,0.0,262257,0.0
20,18033.4063095,2295.33513,3430.0,748.413,0.0,65035.2925605,170794.773,609.48,8.1,19.2,0.0,0.0,0.0,0.0,260974,0.0
21,6077.44337135,2295.33513,3430.0,748.413,0.0,72539.2554987,170794.773,609.48,8.1,19.2,0.0,0.0,0.0,0.0,256522,0.0
22,1396.73355,2295.33513,3430.0,748.413,0.0,73260.8551194,166972.883201,609.48,8.1,19.2,0.0,0.0,0.0,0.0,248741,0.0
23,1396.73355,2295.33513,3430.0,748.413,0.0,70354.1219835,161526.616337,609.48,8.1,19.2,0.0,0.0,0.0,0.0,240388,0.0
24,1396.73355,2295.33513,3430.0,748.413,0.0,64772.6109718,160561.127348,609.48,8.1,19.2,0.0,0.0,0.0,0.0,233841,0.0
25,1361.223375,2280.89906,3430.0,748.413,0.0,58906.2388232,160031.383742,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,229061,0.0
26,1361.223375,2280.89906,3430.0,748.413,0.0,54514.379643,160860.242922,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,225498,0.0
27,1361.223375,2280.89906,3430.0,748.413,0.0,50855.261758,163364.360807,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,224343,0.0
28,1361.223375,2280.89906,3430.0,748.413,0.0,45995.0824677,170531.540097,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,226650,0.0
29,1361.223375,2280.89906,3430.0,748.413,0.0,41830.931958,180388.790607,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,232470,0.0
30,5464.21187322,2280.89906,3430.0,748.413,0.0,39533.2281048,187047.505962,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,240934,0.0
31,17089.3267027,2280.89906,3430.0,748.413,0.0,37972.2162373,186950.403,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,250901,0.0
32,22777.626121,2280.89906,3430.0,748.413,6238.5955307,36360.3212883,186950.403,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,261216,0.0
33,1361.223375,2280.89906,3430.0,748.413,42518.6878107,31039.8821691,186437.152585,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,270246,0.0
34,1361.223375,2280.89906,3430.0,748.413,78935.83786,26365.8404457,159968.944259,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,275394,0.0
35,1361.223375,2280.89906,3430.0,748.413,107413.846534,21170.4249314,135707.6511,2275.542,0.0,0.0,0.0,0.0,0.0,4561.0,274388,0.0
36,1361.223375,2280.89906,3430.0,748.413,104792.064781,20118.2066842,135707.6511,2275.542,0.0,0.0,0.0,0.0,0.0,22075.0,270714,0.0
37,1361.223375,2280.89906,3430.0,748.413,106687.20666,13921.0648052,135707.6511,2275.542,0.0,0.0,0.0,0.0,0.0,25480.0,266412,0.0
38,1361.223375,2280.89906,3430.0,748.413,117392.271465,0.0,135707.6511,2275.542,0.0,0.0,0.0,0.0,0.0,22635.0,263196,0.0
39,1361.223375,2280.89906,3430.0,748.413,115942.271465,0.0,135707.6511,2275.542,0.0,0.0,0.0,0.0,0.0,14615.0,261746,0.0
40,1361.223375,2280.89906,3430.0,748.413,99033.3779485,10520.668918,143547.575698,2275.542,8.1,19.2,0.0,0.0,0.0,0.0,263225,0.0
41,1361.223375,2280.89906,3430.0,748.413,60931.4494584,14030.9664494,182723.306657,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,267936,0.0
42,23673.45,2280.89906,3430.0,748.413,8212.90062995,18605.1528052,193868.073,4551.084,15234.8275049,1769.2,0.0,0.0,0.0,0.0,272374,0.0
43,23673.45,2280.89906,3430.0,748.413,0.0,29174.906409,193868.073,4551.084,14032.974531,1769.2,0.0,0.0,0.0,0.0,273529,0.0
44,23673.45,2280.89906,3430.0,748.413,0.0,43403.1728992,193868.073,4551.084,439.708040804,19.2,0.0,0.0,0.0,0.0,272414,0.0
45,17625.1750818,2280.89906,3430.0,748.413,0.0,54078.1678582,187128.603,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,267721,0.0
46,7084.40162126,2280.89906,3430.0,748.413,0.0,55985.9413187,187128.603,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,259088,0.0
47,1361.223375,2280.89906,3430.0,748.413,0.0,53392.1035546,186759.61901,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,250402,0.0
48,1361.223375,2280.89906,3430.0,748.413,0.0,50096.6133234,183640.109242,2402.442,8.1,19.2,0.0,0.0,0.0,0.0,243987,0.0
